nationality,pca_race_points,physical_score,race_difficulty,combined_score_per_km,consistency_score,race_performance_score
47,15.504518,3.2501168,1.1689537,-0.33861688,-0.7934951,-0.21139757
47,1.050491,2.2134216,-2.5134847,5.829874,-0.7934951,1.260542
47,21.90451,2.7317696,1.5234094,-0.24140799,-0.7934951,-0.19046591
47,-0.09432052,0.14003028,-2.5611544,13.294726,-0.7934951,-1.2895919
22,5.8397994,1.7160137,0.5559565,-0.20183788,-0.4293267,2.2729402
22,0.22693099,1.9751879,-2.5755587,19.386173,-0.4293267,2.3164122
7,0.3466688,0.41328695,-1.0022539,-0.19647926,-1.1518054,-1.454523
26,19.423552,-0.61319727,1.9194272,-0.2861275,0.14951563,1.7557378
26,1.2870151,-1.1487197,-0.3674465,-0.31557167,-1.2682408,-1.516574
26,1.7250528,-1.1487197,1.8453943,-0.31587356,-1.2682408,-0.27422673
27,7.23121,-1.6788539,1.1704764,-0.34206435,-1.0012792,-0.64664996
47,0.88398767,-1.1807748,1.103592,-0.36006537,-1.290426,-1.3716938
63,15.941079,0.39162335,1.3876991,-0.2687139,2.7250574,1.4243846
63,16.852165,1.4283186,1.2695955,-0.27757633,2.7250574,0.9274997
33,1.711975,1.1902215,-2.4709616,5.42051,-0.69253117,2.5030408
33,9.871141,0.9310473,1.7217926,-0.30696827,-0.69253117,0.119554184
33,3.3253565,0.9310473,-2.4794607,2.6130905,-0.69253117,-1.3657616
33,14.968573,0.41269994,1.6614413,-0.33497056,-0.69253117,-0.7705883
33,0.29410222,0.6718736,-1.3671584,0.17024606,-0.69253117,2.4589903
33,19.689285,-0.10564805,1.514137,-0.3437674,-0.69253117,-0.7082262
33,16.202335,-0.10564805,1.9522663,-0.30942795,-0.69253117,-0.2736263
33,19.442532,0.41269994,1.5592593,-0.33229262,-0.69253117,-0.39765158
33,14.72182,0.41269994,1.5027616,-0.34847912,-0.69253117,-0.936218
33,2.953116,-0.10564805,-1.5597067,0.20707025,-0.69253117,1.8175853
33,13.607745,-0.623996,1.6553619,-0.24515168,-0.69253117,-0.46005306
33,2.174897,1.7085695,-0.8117793,0.022862645,-0.69253117,2.5212967
33,0.0546266,1.4493953,-2.4929821,7.2182007,-0.69253117,2.3348126
33,1.711975,1.7085695,1.8276414,-0.22551222,-0.69253117,2.4797246
33,15.670869,-0.10564805,1.5522592,-0.336839,-0.69253117,-0.7912453
33,19.043932,0.15352564,1.3883481,-0.3452979,-0.69253117,-0.9152856
33,18.265713,1.9677433,1.9463471,-0.24465244,-0.69253117,2.6460621
33,13.209144,1.1902215,1.4517612,-0.23766407,-0.69253117,-0.72921824
33,-0.19507737,0.9310473,-2.5770044,47.094948,-0.69253117,-1.229179
